bench,mFamily,model,qbits,bench_item,pass,ft,rte,se,te,oe
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_0_has_close_elements,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_100_make_a_pile,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_101_words_string,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_102_choose_num,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_103_rounded_avg,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_104_unique_digits,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_105_by_length,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_106_f,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_107_even_odd_palindrome,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_108_count_nums,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_109_move_one_ball,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_10_make_palindrome,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_110_exchange,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_111_histogram,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_112_reverse_delete,0,1,0,0,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_113_odd_count,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_114_minSubArraySum,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_115_max_fill,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_116_sort_array,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_117_select_words,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_118_get_closest_vowel,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_119_match_parens,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_11_string_xor,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_120_maximum,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_121_solution,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_122_add_elements,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_123_get_odd_collatz,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_124_valid_date,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_125_split_words,0,1,0,0,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_126_is_sorted,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_127_intersection,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_128_prod_signs,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_129_minPath,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_12_longest,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_130_tri,0,0,0,1,0,0
HumanEval,CodeGemma,CodeGemmaFP16,16,HumanEval_131_digits,0,0,0,1,0,0
