bench,model,bench_item,loc
HumanEval,CodeQwenQ2,HumanEval_30_get_positive,154
HumanEval,CodeQwenQ8,HumanEval_51_remove_vowels,74
HumanEval,CodeQwenQ2,HumanEval_61_correct_bracketing,69
HumanEval,CodeGemmaFP16,HumanEval_75_is_multiply_prime,66
HumanEval,CodeGemma,HumanEval_125_split_words,54
HumanEval,CodeGemma,HumanEval_117_select_words,53
HumanEval,CodeQwenQ2,HumanEval_23_strlen,53
HumanEval,CodeGemma,HumanEval_79_decimal_to_binary,52
HumanEval,CodeGemma,HumanEval_46_fib4,49
HumanEval,CodeGemma,HumanEval_1_separate_paren_groups,48
HumanEval,CodeQwen,HumanEval_23_strlen,48
HumanEval,CodeGemma,HumanEval_40_triples_sum_to_zero,43
HumanEval,CodeQwenQ8,HumanEval_55_fib,43
HumanEval,CodeQwenQ8,HumanEval_131_digits,41
HumanEval,CodeQwenQ8,HumanEval_75_is_multiply_prime,41
HumanEval,CodeQwen,HumanEval_131_digits,40
HumanEval,DSCoderQ8,HumanEval_156_int_to_mini_roman,40
HumanEval,CodeQwenQ2,HumanEval_140_fix_spaces,39
HumanEval,CodeQwenQ8,HumanEval_140_fix_spaces,39
HumanEval,CodeQwenQ8,HumanEval_96_count_up_to,39
HumanEval,CodeGemmaFP16,HumanEval_41_car_race_collision,38
HumanEval,CodeQwenQ2,HumanEval_10_make_palindrome,38
HumanEval,CodeQwenQ8,HumanEval_161_solve,38
HumanEval,CodeQwen,HumanEval_161_solve,38
HumanEval,StarCoder,HumanEval_75_is_multiply_prime,38
HumanEval,CodeQwenQ2,HumanEval_99_closest_integer,37
HumanEval,CodeQwenQ8,HumanEval_156_int_to_mini_roman,37
HumanEval,CodeQwen,HumanEval_156_int_to_mini_roman,37
HumanEval,CodeQwen,HumanEval_25_factorize,37
HumanEval,CodeQwen,HumanEval_27_flip_case,37
HumanEval,StarCoderFP16,HumanEval_156_int_to_mini_roman,37
HumanEval,StarCoderQ2,HumanEval_10_make_palindrome,37
HumanEval,CodeGemmaQ8,HumanEval_110_exchange,36
HumanEval,CodeLlamaQ2,HumanEval_141_file_name_check,36
HumanEval,CodeQwenQ2,HumanEval_86_anti_shuffle,36
HumanEval,CodeQwen,HumanEval_39_prime_fib,36
HumanEval,CodeQwen,HumanEval_75_is_multiply_prime,36
HumanEval,CodeGemmaQ8,HumanEval_39_prime_fib,35
HumanEval,CodeQwenQ2,HumanEval_151_double_the_difference,35
HumanEval,CodeQwen,HumanEval_137_compare_one,35
HumanEval,StarCoderFP16,HumanEval_137_compare_one,35
HumanEval,CodeGemma,HumanEval_112_reverse_delete,34
HumanEval,CodeLlama,HumanEval_148_bf,34
HumanEval,CodeQwenQ2,HumanEval_137_compare_one,34
HumanEval,CodeQwenQ2,HumanEval_39_prime_fib,34
HumanEval,CodeQwenQ8,HumanEval_19_sort_numbers,34
HumanEval,CodeQwenQ8,HumanEval_23_strlen,34
HumanEval,CodeQwenQ8,HumanEval_46_fib4,34
HumanEval,CodeQwen,HumanEval_19_sort_numbers,34
HumanEval,CodeQwen,HumanEval_46_fib4,34
HumanEval,DSCoderQ8,HumanEval_19_sort_numbers,34
HumanEval,StarCoderQ8,HumanEval_156_int_to_mini_roman,34
HumanEval,CodeGemmaQ8,HumanEval_75_is_multiply_prime,33
HumanEval,CodeQwenQ2,HumanEval_108_count_nums,33
HumanEval,CodeQwenQ2,HumanEval_18_how_many_times,33
HumanEval,CodeQwenQ2,HumanEval_19_sort_numbers,33
HumanEval,CodeQwenQ2,HumanEval_43_pairs_sum_to_zero,33
HumanEval,CodeQwenQ2,HumanEval_75_is_multiply_prime,33
HumanEval,CodeQwen,HumanEval_102_choose_num,33
HumanEval,CodeQwen,HumanEval_18_how_many_times,33
HumanEval,StarCoder,HumanEval_39_prime_fib,33
